CNC,CENTENE CORP,-0.475
CENTA,CENTRAL GARDEN & PET CO,0.16
CPF,CENTRAL PACIFIC FINL,0.7917
CENX,CENTURY ALUMINUM CO,2.5263
CNBKA,CENTURY BANCORP INC,nan
CERS,CERUS CORP,-0.1111
CEVA,CEVA INC,0.3333
ECOM,CHANNELADVISOR CORP,-0.3939
CCF,CHASE CORP,nan
CLDT,CHATHAM LODGING TR,-0.3333
CAKE,CHEESECAKE FACTORY INC,-0.6207
CHEF,CHEFS' WHAREHOUSE INC,-0.2692
CHE,CHEMED CORPORATION,0.102
CCXI,CHEMOCENTRYX INC,-2.2069
CHMG,CHEMUNG FINL CORP,-0.0672
CPK,CHESAPEAKE UTILITIES,-0.125
PLCE,CHILDRENS PLACE RETAIL,-1.973
CMRX,CHIMERIX INC,0.125
CHDN,CHURCHILL DOWNS INC,-3.2453
CHUY,CHUY'S HOLDINGS INC,0.3478
CBB,CINCINNATI BELL INC,-0.0
CIR,CIRCOR INTERNATIONAL IN,0.6364
CRUS,CIRRUS LOGIC INC,0.6905
CTRN,CITI TRENDS INC,nan
CZNC,CITIZENS & NORTHERN COR,0.02
CIA,CITIZENS INC,nan
CHCO,CITY HOLDING CO,0.12
CLNE,CLEAN ENERGY FUELS CORP,-0.6667
CLW,CLEARWATER PAPER CORP,-0.0479
CLVS,CLOVIS ONCOLOGY INC,-0.2261
CCNE,CNB FINL CORP PA,0.1304
CNO,CNO FINANCIAL GROUP,0.4364
COKE,COCA COLA BOTTLING,0.3774
CDE,COEUR MINING INC,-17.0
CCOI,COGENT COMMUNICATIONS,-1.6111
CGNX,COGNEX CORP,1.6111
CNS,COHEN & STEERS INC,0.1343
COHR,COHERENT INC,0.9423
COHU,COHU INC,0.5882
CSTR,COINSTAR INC,0.0625
CLNY,COLONY FINANCIAL INC,-0.8984
COLB,COLUMBIA BKG SYSTEM INC,0.3016
COLM,COLUMBIA SPORTSWEAR CO,0.5319
CMCO,COLUMBUS MCKINNON CORP,-0.2353
FIX,COMFORT SYSTEMS USA INC,0.2593
CMC,COMMERCIAL METALS CO,-0.2658
CVGI,COMMERCIAL VEH GROUP IN,-1.875
CBU,COMMUNITY BANK SYSTEMS,0.0
CTBI,COMMUNITY TRUST BANCORP,-0.0918
CVLT,COMMVAULT SYSTEMS INC,0.2667
CPSI,COMPUTER PROGRAMS & SYS,0.7179
CTG,COMPUTER TASK GROUP INC,0.8
CIX,COMPX INTERNATIONAL,nan
SCOR,COMSCORE INC,0.0667
CRK,COMSTOCK RESOURCES INC,-1.75
CMTL,COMTECH TELECOMM,-85.75
CNOB,CONNECTONE BANCORP INC,0.0317
CONN,CONNS INC,-0.6667
CNSL,CONSOLIDATED COMM,0.0952
CTO,CONSOLIDATED TOMOKA LAN,-1.1222
CWCO,CONSOLIDATED WATER CO,-2.2857
CPSS,CONSUMER PORTFOLIO SVCS,0.2308
MCF,CONTANGO OIL & GAS CO,-0.3798
CTB,COOPER TIRE & RUBBER CO,-21.1667
CORT,CORCEPT THERAPEUTICS IN,-0.2609
CORE,CORE MARK HOLDING CO IN,0.1538
COR,CORESITE REALTY CORP,-0.08
CSOD,CORNERSTONE ONDEMAND IN,0.275
CRTX,CORNERSTONE THERAPEUTIC,0.2167
CRVL,CORVEL CORP,nan
CSGP,COSTAR GROUP INC,-0.0342
CUZ,COUSINS PROPERTIES INC,0.1875
COWN,COWEN GROUP INC,-0.7803
CRAI,CRA INTERNATIONAL INC,-0.05
CBRL,CRACKER BARREL STORE,-1.8118
CRD.B,CRAWFORD & CO,0
CACC,CREDIT ACCEP CORP MICH,-0.3046
CROX,CROCS INC,-0.0693
CCRN,CROSS COUNTRY HEALTHCAR,-0.25
CRY,CRYOLIFE INC,-7.5
CSGS,CSG SYSTEMS INTL INC,0.1842
CTS,CTS CORP,1.125
CUBE,CUBESMART,0.2
CUB,CUBIC CORP,2.8108
CMLS,CUMULUS MEDIA INC,-0.5
CRIS,CURIS INC,-0.3529
CW,CURTISS WRIGHT CORP,0.4122
CUTR,CUTERA INC,-1.3478
CVBF,CVB FINANCIAL CORP,0.0571
CONE,CYRUSONE INC,-1.8205
CYTK,CYTOKINETICS INC,-0.9265
DJCO,DAILY JOURNAL CORP,nan
DAKT,DAKTRONICS INC,-0.5294
DAN,DANA HOLDING CORP,-1.5362
DAR,DARLING INTERNATIONAL,0.5641
DWSN,DAWSON GEOPHYSICAL CO,48.0
DK,DELEK US HLDGS INC,-0.3267
DGAS,DELTA NATURAL GAS INC,0
DLX,DELUXE CORP,-0.0612
DENN,DENNYS CORP,-1.04
DXCM,DEXCOM INC,0.1899
DHIL,DIAMOND HILL INVESTMENT,nan
FANG,DIAMONDBACK ENERGY INC,3.1333
DRH,DIAMONDROCK HOSPITALITY,0.1111
DHX,DICE HOLDINGS INC,-0.25
DGII,DIGI INTL INC,-1.0667
DMRC,DIGIMARC CORPORATION,0.0968
DRIV,DIGITAL RIVER INC,0
DCOM,DIME CMNTY BANCSHARES,0.1282
DIN,DINEEQUITY INC,-1.9195
DIOD,DIODES INC,0.1481
DGICA,DONEGAL GROUP INC,-0.4754
DORM,DORMAN PRODUCTS INC,1.4255
PLOW,DOUGLAS DYNAMICS INC,0.2727
DSPG,DSP GROUP INC,1.4
DCO,DUCOMMUN INC,0.2558
DXPE,DXP ENTERPRISES INC NEW,0.3333
DY,DYCOM INDUSTRIES INC,-0.1017
BOOM,DYNAMIC MATERIALS CORP,-1.2759
DVAX,DYNAVAX TECHNOLOGIES,-1.0755
DX,DYNEX CAPITAL INC,-0.2623
EGBN,EAGLE BANCORP INC,-0.0547
